month,prime,political,index,GDP,season
07-Jan,6,Liberal,109.5,2.06274769,winter
07-Feb,6,Liberal,111,2.06274769,winter
07-Mar,6,Liberal,112.2,2.06274769,winter
07-Apr,6,Liberal,113.3,2.06274769,spring
07-May,6,Liberal,114.5,2.06274769,spring
07-Jun,6,Liberal,115.5,2.06274769,spring
07-Jul,6.25,Liberal,116,2.06274769,summer
07-Aug,6.25,Liberal,116.4,2.06274769,summer
07-Sep,6.25,Liberal,117,2.06274769,summer
07-Oct,6.25,Liberal,117.7,2.06274769,fall
07-Nov,6.25,Liberal,118.1,2.06274769,fall
07-Dec,6,Liberal,118.1,2.06274769,fall
08-Jan,5.88,Liberal,118.5,1.000360973,winter
08-Feb,5.75,Liberal,119.5,1.000360973,winter
08-Mar,5.25,Liberal,120.2,1.000360973,winter
08-Apr,5,Liberal,120.7,1.000360973,spring
08-May,4.75,Liberal,121,1.000360973,spring
08-Jun,4.75,Liberal,120.7,1.000360973,spring
08-Jul,4.75,Liberal,120.2,1.000360973,summer
08-Aug,4.75,Liberal,119.8,1.000360973,summer
08-Sep,4.75,Liberal,119.2,1.000360973,summer
08-Oct,4.5,Liberal,118.4,1.000360973,fall
08-Nov,4,Liberal,117.2,1.000360973,fall
08-Dec,3.75,Liberal,115.6,1.000360973,fall
09-Jan,3.25,Liberal,113.9,-2.949587643,winter
09-Feb,3,Liberal,113.2,-2.949587643,winter
09-Mar,2.5,Liberal,113.7,-2.949587643,winter
09-Apr,2.37,Liberal,114.9,-2.949587643,spring
09-May,2.25,Liberal,116.5,-2.949587643,spring
09-Jun,2.25,Liberal,118.3,-2.949587643,spring
09-Jul,2.25,Liberal,120,-2.949587643,summer
09-Aug,2.25,Liberal,121.7,-2.949587643,summer
09-Sep,2.25,Liberal,123.5,-2.949587643,summer
09-Oct,2.25,Liberal,125.1,-2.949587643,fall
09-Nov,2.25,Liberal,126.5,-2.949587643,fall
09-Dec,2.25,Liberal,127.3,-2.949587643,fall
10-Jan,2.25,Liberal,128.9,3.08351422,winter
10-Feb,2.25,Liberal,130.7,3.08351422,winter
10-Mar,2.25,Liberal,132.2,3.08351422,winter
10-Apr,2.25,Liberal,133.1,3.08351422,spring
10-May,2.37,Liberal,133.2,3.08351422,spring
10-Jun,2.5,Liberal,132.5,3.08351422,spring
10-Jul,2.67,Liberal,131.6,3.08351422,summer
10-Aug,2.75,Liberal,131.2,3.08351422,summer
10-Sep,2.88,Liberal,131.3,3.08351422,summer
10-Oct,3,Liberal,131.5,3.08351422,fall
10-Nov,3,Liberal,132,3.08351422,fall
10-Dec,3,Liberal,132.6,3.08351422,fall
11-Jan,3,Liberal,133.7,3.141219001,winter
11-Feb,3,Liberal,135.8,3.141219001,winter
11-Mar,3,Liberal,137.3,3.141219001,winter
11-Apr,3,Liberal,138.7,3.141219001,spring
11-May,3,Liberal,140.1,3.141219001,spring
11-Jun,3,Liberal,140.5,3.141219001,spring
11-Jul,3,Liberal,141.2,3.141219001,summer
11-Aug,3,Liberal,141.9,3.141219001,summer
11-Sep,3,Liberal,142.3,3.141219001,summer
11-Oct,3,Liberal,143,3.141219001,fall
11-Nov,3,Liberal,143.3,3.141219001,fall
11-Dec,3,Liberal,143.8,3.141219001,fall
12-Jan,3,Liberal,144.2,1.745472283,winter
12-Feb,3,Liberal,146,1.745472283,winter
12-Mar,3,Liberal,148.3,1.745472283,winter
12-Apr,3,Liberal,150.1,1.745472283,spring
12-May,3,Liberal,151.4,1.745472283,spring
12-Jun,3,Liberal,151.7,1.745472283,spring
12-Jul,3,Liberal,151.2,1.745472283,summer
12-Aug,3,Liberal,151,1.745472283,summer
12-Sep,3,Liberal,150.9,1.745472283,summer
12-Oct,3,Liberal,150.7,1.745472283,fall
12-Nov,3,Liberal,150.3,1.745472283,fall
12-Dec,3,Liberal,149.9,1.745472283,fall
13-Jan,3,Liberal,149.8,2.475001859,winter
13-Feb,3,Liberal,150.8,2.475001859,winter
13-Mar,3,Liberal,152.9,2.475001859,winter
13-Apr,3,Liberal,154.6,2.475001859,spring
13-May,3,Liberal,156,2.475001859,spring
13-Jun,3,Liberal,156.6,2.475001859,spring
13-Jul,3,Liberal,156.7,2.475001859,summer
13-Aug,3,Liberal,157,2.475001859,summer
13-Sep,3,Liberal,157.4,2.475001859,summer
13-Oct,3,Liberal,157.8,2.475001859,fall
13-Nov,3,Liberal,158.8,2.475001859,fall
13-Dec,3,Liberal,159.1,2.475001859,fall
14-Jan,3,Liberal,160.3,2.855739204,winter
14-Feb,3,Liberal,161.9,2.855739204,winter
14-Mar,3,Liberal,163.9,2.855739204,winter
14-Apr,3,Liberal,165.6,2.855739204,spring
